"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Pull Up",,"",0,"normal",,7,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Pull Up",,"",1,"normal",,7,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Pull Up",,"",2,"normal",,7,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Pull Up",,"",3,"normal",,7,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","EZ Bar Biceps Curl",,"",0,"normal",25,21,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","EZ Bar Biceps Curl",,"",1,"normal",25,21,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","EZ Bar Biceps Curl",,"",2,"normal",25,4,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","EZ Bar Biceps Curl",,"",3,"normal",25,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Triceps Rope Pushdown",,"",0,"normal",23,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Triceps Rope Pushdown",,"",1,"normal",27,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Triceps Rope Pushdown",,"",2,"normal",27,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Triceps Rope Pushdown",,"",3,"normal",27,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Lateral Raise (Dumbbell)",,"",0,"normal",18,12,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Lateral Raise (Dumbbell)",,"",1,"normal",18,12,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Lateral Raise (Dumbbell)",,"",2,"normal",18,12,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Lateral Raise (Dumbbell)",,"",3,"normal",18,12,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Bicep Curl (Dumbbell)",,"",0,"normal",28,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Bicep Curl (Dumbbell)",,"",1,"normal",28,8,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Bicep Curl (Dumbbell)",,"",2,"normal",28,8,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Hammer Curl (Dumbbell)",,"",0,"normal",32,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Hammer Curl (Dumbbell)",,"",1,"normal",32,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Incline Bench Press (Dumbbell)",,"",0,"normal",40,8,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Incline Bench Press (Dumbbell)",,"",1,"normal",40,8,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Incline Bench Press (Dumbbell)",,"",2,"normal",40,7,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Incline Bench Press (Dumbbell)",,"",3,"normal",40,6,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Bench Press (Dumbbell)",,"",0,"normal",40,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Bench Press (Dumbbell)",,"",1,"normal",44,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Bench Press (Dumbbell)",,"",2,"normal",40,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Bench Press (Dumbbell)",,"",3,"normal",40,10,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Incline Bench Press (Barbell)",,"",0,"normal",45,6,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Incline Bench Press (Barbell)",,"",1,"normal",55,4,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Incline Bench Press (Barbell)",,"",2,"normal",55,4,,,
"Weekend Long","5 Dec 2025, 11:37","5 Dec 2025, 12:55","","Incline Bench Press (Barbell)",,"",3,"normal",55,3,,,
"Daily Pull","3 Dec 2025, 10:40","3 Dec 2025, 10:56","","Pull Up",,"",0,"normal",,14,,,
"Daily Pull","3 Dec 2025, 10:40","3 Dec 2025, 10:56","","Pull Up",,"",1,"normal",,4,,,
"Daily Pull","3 Dec 2025, 10:40","3 Dec 2025, 10:56","","Pull Up",,"",2,"normal",,4,,,
"Daily Pull","3 Dec 2025, 10:40","3 Dec 2025, 10:56","","Rope Straight Arm Pulldown",,"",0,"normal",23,10,,,
"Daily Pull","3 Dec 2025, 10:40","3 Dec 2025, 10:56","","Rope Straight Arm Pulldown",,"",1,"normal",23,10,,,
"Daily Pull","3 Dec 2025, 10:40","3 Dec 2025, 10:56","","EZ Bar Biceps Curl",,"",0,"normal",30,10,,,
"Daily Pull","3 Dec 2025, 10:40","3 Dec 2025, 10:56","","EZ Bar Biceps Curl",,"",1,"normal",30,10,,,
"Daily Pull","3 Dec 2025, 10:40","3 Dec 2025, 10:56","","EZ Bar Biceps Curl",,"",2,"normal",30,10,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Pull Up",,"",0,"normal",,12,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Pull Up",,"",1,"normal",,7,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Pull Up",,"",2,"normal",,5,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Bench Press (Barbell)",,"",0,"normal",70,5,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Bench Press (Barbell)",,"",1,"normal",70,5,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Bench Press (Barbell)",,"",2,"normal",70,4,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Bench Press (Barbell)",,"",3,"normal",70,4,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","EZ Bar Biceps Curl",,"",0,"normal",30,8,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","EZ Bar Biceps Curl",,"",1,"normal",30,8,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","EZ Bar Biceps Curl",,"",2,"normal",30,8,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","EZ Bar Biceps Curl",,"",3,"normal",30,8,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Triceps Rope Pushdown",,"",0,"normal",23,10,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Triceps Rope Pushdown",,"",1,"normal",23,10,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Triceps Rope Pushdown",,"",2,"normal",23,10,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Triceps Rope Pushdown",,"",3,"normal",23,10,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Triceps Rope Pushdown",,"",4,"normal",27,10,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Lateral Raise (Dumbbell)",,"",0,"normal",18,12,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Lateral Raise (Dumbbell)",,"",1,"normal",18,12,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Lateral Raise (Dumbbell)",,"",2,"normal",18,12,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Lateral Raise (Dumbbell)",,"",3,"normal",18,12,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Bicep Curl (Dumbbell)",,"",0,"normal",28,8,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Bicep Curl (Dumbbell)",,"",1,"normal",28,8,,,
"My Daily","1 Dec 2025, 10:53","1 Dec 2025, 12:42","","Bicep Curl (Dumbbell)",,"",2,"normal",32,5,,,
